Time (s),PHI2,R_W,D0,A0
-0.001617,1,1,1,0
-0.0016169,1,1,0,0
-0.0016168,1,1,0,0
-0.0016167,1,1,0,0
-0.0016166,1,1,0,0
-0.0016165,0,1,0,0
-0.0016164,0,1,0,0
-0.0016163,0,1,0,0
-0.0016162,0,1,0,0
-0.0016161,0,1,0,0
-0.001616,1,1,1,0
-0.0016159,1,1,1,0
-0.0016158,1,1,1,0
-0.0016157,1,1,0,0
-0.0016156,0,1,0,0
-0.0016155,0,1,0,1
-0.0016154,0,1,0,1
-0.0016153,0,1,1,1
-0.0016152,0,1,1,1
-0.0016151,0,1,1,1
-0.001615,1,1,0,1
-0.0016149,1,1,1,1
-0.0016148,1,1,1,1
-0.0016147,1,1,1,1
-0.0016146,0,1,1,1
-0.0016145,0,1,0,1
-0.0016144,0,1,0,1
-0.0016143,0,1,0,1
-0.0016142,0,1,0,1
-0.0016141,1,1,0,0
-0.001614,1,1,0,0
-0.0016139,1,1,0,0
-0.0016138,1,1,0,0
-0.0016137,1,1,0,0
-0.0016136,0,1,0,1
-0.0016135,0,1,0,1
-0.0016134,0,1,0,1
-0.0016133,0,1,1,1
-0.0016132,0,1,1,1
-0.0016131,1,0,1,0
-0.001613,1,0,0,0
-0.0016129,1,0,0,0
-0.0016128,1,0,0,0
-0.0016127,1,0,0,0
-0.0016126,0,0,0,0
-0.0016125,0,1,0,0
-0.0016124,0,1,0,0
-0.0016123,0,1,1,0
-0.0016122,0,1,1,0
-0.0016121,1,1,0,1
-0.001612,1,1,1,1
-0.0016119,1,1,1,1
-0.0016118,1,1,1,1
-0.0016117,0,1,1,1
-0.0016116,0,1,0,1
-0.0016115,0,1,0,1
-0.0016114,0,1,0,1
-0.0016113,0,1,1,1
-0.0016112,0,1,1,1
-0.0016111,1,1,0,0
-0.001611,1,1,0,0
-0.0016109,1,1,0,0
-0.0016108,1,1,0,0
-0.0016107,0,1,0,0
-0.0016106,0,1,0,1
-0.0016105,0,1,0,1
-0.0016104,0,1,1,1
-0.0016103,0,1,1,1
-0.0016102,1,1,1,1
-0.0016101,1,1,0,1
-0.00161,1,1,0,1
-0.0016099,1,1,0,1
-0.0016098,1,1,0,1
-0.0016097,0,1,0,1
-0.0016096,0,1,0,1
-0.0016095,0,1,0,1
-0.0016094,0,1,1,1
-0.0016093,0,1,1,1
-0.0016092,1,0,1,0
-0.0016091,1,0,0,0
-0.001609,1,0,0,0
-0.0016089,1,0,0,0
-0.0016088,1,0,0,0
-0.0016087,0,0,0,0
-0.0016086,0,1,0,0
-0.0016085,0,1,0,0
-0.0016084,0,1,1,0
-0.0016083,0,1,1,0
-0.0016082,1,1,1,0
-0.0016081,1,1,0,0
-0.001608,1,1,0,0
-0.0016079,1,1,0,0
-0.0016078,1,1,0,0
-0.0016077,0,1,0,1
-0.0016076,0,1,0,1
-0.0016075,0,1,0,1
-0.0016074,0,1,1,1
-0.0016073,0,1,1,1
-0.0016072,1,1,1,1
-0.0016071,1,1,1,1
